Date,y
2014-05-09,3036.0
2014-05-10,1725.0
2014-05-11,2376.0
2014-05-12,5432.0
2014-05-13,6088.0
2014-05-14,5887.0
2014-05-15,5300.0
2014-05-16,5742.0
2014-05-17,2041.0
2014-05-18,1937.0
2014-05-19,4702.0
2014-05-20,5678.0
2014-05-21,5229.0
2014-05-22,4910.0
2014-05-23,2556.0
2014-05-24,2155.0
2014-05-25,1234.0
2014-05-26,2289.0
2014-05-27,5032.0
2014-05-28,4008.0
2014-05-29,4587.0
2014-05-30,4869.0
2014-05-31,2887.0
